,org_mode,dst_mode,bike_distance,bike_duration,bike_cost,taxi_cost,taxi_distance,taxis_duration,origin_1,destination_1
31,metro,metro,37792,151.1666667,6,118,37588,56.63333333,Weigongcun_m,Tiangongyuan_m
32,metro,metro,38828,155.3166667,6,133,41870,56.35,Weigongcun_m,Changpingxishankou_m
33,metro,metro,5211,20.85,1,18,5460,18.16666667,Weigongcun_m,Beijingdaxuedongmen_m
34,metro,metro,36117,144.4666667,5,138,43471,62.36666667,Weigongcun_m,Beishaowa_m
35,metro,metro,27298,109.1833333,4,92,29998,47.25,Weigongcun_m,Jiugong_m
36,metro,metro,37149,148.6,5,121,38351,65.28333333,Weigongcun_m,Ciqu_m
37,metro,metro,17914,71.65,3,49,17480,41.53333333,Weigongcun_m,Lishuiqiao_m
38,metro,metro,28267,113.0666667,4,89,29280,52.4,Weigongcun_m,Qingyuanlu_m
39,metro,metro,17667,70.66666667,3,47,16906,40.96666667,Weigongcun_m,Lishuiqiaonan_m
40,metro,metro,17443,69.76666667,3,52,18536,30.5,Weigongcun_m,Wangjingdong_m
41,metro,metro,34572,138.2833333,5,121,38334,62.03333333,Weigongcun_m,Liangxiangdaxuechengbei_m
42,metro,metro,4379,17.51666667,1,18,5593,15.2,Weigongcun_m,Baishiqiaonan_m
43,metro,metro,10946,43.78333333,2,34,12554,28.08333333,Weigongcun_m,Huixinxijiebeikou_m
44,metro,metro,10112,40.45,2,30,10667,24.8,Weigongcun_m,Nanluoguxiang_m
45,metro,metro,5576,22.3,1,25,8469,20.51666667,Weigongcun_m,Baiduizi_m
46,metro,metro,15944,63.78333333,3,58,20324,35.61666667,Weigongcun_m,Huilongguan_m
47,metro,metro,18387,73.55,3,67,22812,36.4,Weigongcun_m,Guchenglu_m
48,metro,metro,13608,54.43333333,2,38,13986,30.35,Weigongcun_m,Guanzhuang_m
49,metro,metro,23972,95.88333333,4,73,24639,57.46666667,Weigongcun_m,Nanlouzizhuang_m
50,metro,metro,15030,60.11666667,3,40,15112,24.91666667,Weigongcun_m,Wangjingxi_m
51,metro,metro,26382,105.5333333,4,95,30933,52.11666667,Weigongcun_m,Huangqu_m
52,metro,metro,27121,108.4833333,4,90,29358,54.98333333,Weigongcun_m,Shuanghe_m
53,metro,metro,3925,15.7,1,15,4179,13.98333333,Weigongcun_m,Dongwuyuan_m
54,metro,metro,9094,36.38333333,2,28,9735,23.83333333,Weigongcun_m,Shenshahai_m
55,metro,metro,30303,121.2166667,5,94,30703,59.96666667,Weigongcun_m,Guanzhuang_m
56,metro,metro,32340,129.3666667,5,141,44376,62.25,Weigongcun_m,Wuzixueyuanlu_m
57,metro,metro,10963,43.85,2,30,10794,20.75,Weigongcun_m,Guangximen_m
58,metro,metro,26012,104.05,4,86,28359,51.45,Weigongcun_m,Gonghuacheng_m
59,metro,metro,9689,38.75,2,28,9938,22.43333333,Weigongcun_m,Andingmen_m
60,metro,metro,21698,86.78333333,3,66,22493,48.31666667,Weigongcun_m,Shilihe_m
61,metro,metro,14330,57.31666667,2,52,18420,40.81666667,Weigongcun_m,Yuxin_m
62,metro,metro,37933,151.7333333,6,127,40066,68.11666667,Weigongcun_m,Beiyunhexi_m
63,metro,metro,31950,127.8,5,101,32568,63.51666667,Weigongcun_m,Baliqiao_m
64,metro,metro,16394,65.58333333,3,49,17608,40.13333333,Weigongcun_m,Dongfengbeiqiao_m
65,metro,metro,15840,63.36666667,3,55,19281,34.58333333,Weigongcun_m,Longze_m
66,metro,metro,16744,66.98333333,3,52,18397,34.2,Weigongcun_m,Jiangtai_m
67,metro,metro,15179,60.71666667,3,42,15431,34.48333333,Weigongcun_m,Dongdaqiao_m
68,metro,metro,13714,54.85,2,36,13419,31.55,Weigongcun_m,Datunludong_m
69,metro,metro,11741,46.96666667,2,48,17329,35.93333333,Weigongcun_m,Yongtaizhuang_m
70,metro,metro,21282,85.13333333,3,60,20664,52.43333333,Weigongcun_m,Tiantongyuan_m
71,metro,metro,15767,63.06666667,3,54,19025,36.71666667,Weigongcun_m,Pingguoyuan_m
72,metro,metro,16172,64.68333333,3,45,16369,37.08333333,Weigongcun_m,Jintaixizhao_m
73,metro,metro,4108,16.43333333,1,15,3902,13.33333333,Weigongcun_m,Dazhongsi_m
74,metro,metro,4933,19.73333333,1,17,5137,17.71666667,Weigongcun_m,Chegongzhuangxi_m
75,metro,metro,19416,77.66666667,3,60,20846,36.36666667,Weigongcun_m,Dahongmen_m
76,metro,metro,42087,168.35,6,141,44171,70.55,Weigongcun_m,Dongxiayuan_m
77,metro,metro,9920,39.68333333,2,29,10244,21.86666667,Weigongcun_m,Huixinxijienankou_m
78,metro,metro,7505,30.01666667,2,25,8245,20.13333333,Weigongcun_m,Pinganli_m
79,metro,metro,6695,26.78333333,1,23,7723,20.1,Weigongcun_m,Xidiaoyutai_m
80,metro,metro,19755,79.01666667,3,57,19950,46.2,Weigongcun_m,Jingsong_m
81,metro,metro,9750,39.0,2,23,7607,20.9,Weigongcun_m,Muxidi_m
82,metro,metro,19770,79.08333333,3,57,19935,50.0,Weigongcun_m,Sihui_m
83,metro,metro,17552,70.2,3,64,21967,39.56666667,Weigongcun_m,Jiaomenxi_m
84,metro,metro,16747,66.98333333,3,46,16705,29.83333333,Weigongcun_m,Jijiamiao_m
85,metro,metro,34975,139.9,5,132,41732,61.68333333,Weigongcun_m,Nanshao_m
86,metro,metro,36827,147.3,5,123,39034,64.41666667,Weigongcun_m,Liangxiangdaxuechengxi_m
87,metro,metro,18907,75.63333333,3,59,20425,48.5,Weigongcun_m,Dawanglu_m
88,metro,metro,27991,111.9666667,4,100,32316,57.43333333,Weigongcun_m,Changying_m
89,metro,metro,21505,86.01666667,3,73,24524,41.28333333,Weigongcun_m,Cuigezhuang_m
90,metro,metro,30428,121.7166667,5,99,32081,57.91666667,Weigongcun_m,Yizhuangwenhuayuan_m
91,metro,metro,10324,41.3,2,30,10526,20.36666667,Weigongcun_m,Liufang_m
92,metro,metro,12923,51.68333333,2,37,13554,28.78333333,Weigongcun_m,Liuliqiaodong_m
93,metro,metro,18963,75.85,3,66,22626,38.05,Weigongcun_m,Fengtaikejiyuan_m
94,metro,metro,13011,52.05,2,39,14713,27.21666667,Weigongcun_m,Sanyuanqiao_m
95,metro,metro,19678,78.71666667,3,57,19883,33.25,Weigongcun_m,Shangezhuang_m
96,metro,metro,8227,32.9,2,27,9422,25.46666667,Weigongcun_m,Junshibowuguan_m
97,metro,metro,29312,117.25,4,114,36310,45.5,Weigongcun_m,Shahegaojiaoyuan_m
98,metro,metro,30640,122.5666667,5,93,30236,55.73333333,Weigongcun_m,Huangcunhuochezhan_m
99,metro,metro,19207,76.83333333,3,53,18764,31.06666667,Weigongcun_m,Laiguangying_m
100,metro,metro,3230,12.91666667,1,13,3364,11.25,Weigongcun_m,Haidianhuangzhuang_m
101,metro,metro,32372,129.4833333,5,110,35384,43.01666667,Weigongcun_m,Houshayu_m
102,metro,metro,6260,25.03333333,1,20,6467,22.55,Weigongcun_m,Qinghuadongluxikou_m
103,metro,metro,37421,149.6833333,5,129,40674,50.65,Weigongcun_m,Nanfaxin_m
104,metro,metro,24355,97.41666667,4,88,28742,55.41666667,Weigongcun_m,Xiaocun_m
105,metro,metro,16845,67.38333333,3,48,17296,33.2,Weigongcun_m,Shoujingmao_m
